"filename", "language", "CSS", "JavaScript JSX", "JSON", "XML", "comment", "blank", "total"
"c:\Users\MIXPC\Desktop\Kino\kino\src\components\RandomFilm\RandomFilm.css", "CSS", 82, 0, 0, 0, 0, 3, 85
"c:\Users\MIXPC\Desktop\Kino\kino\src\components\RandomFilm\RandomFilm.jsx", "JavaScript JSX", 0, 33, 0, 0, 0, 3, 36
"c:\Users\MIXPC\Desktop\Kino\kino\src\index.css", "CSS", 46, 0, 0, 0, 0, 5, 51
"c:\Users\MIXPC\Desktop\Kino\kino\src\main.jsx", "JavaScript JSX", 0, 16, 0, 0, 3, 3, 22
"c:\Users\MIXPC\Desktop\Kino\kino\src\movies.json", "JSON", 0, 0, 46, 0, 0, 1, 47
"c:\Users\MIXPC\Desktop\Kino\kino\src\pages\ActorPage.jsx", "JavaScript JSX", 0, 48, 0, 0, 1, 12, 61
"c:\Users\MIXPC\Desktop\Kino\kino\src\pages\ActorPage.module.css", "CSS", 45, 0, 0, 0, 0, 3, 48
"c:\Users\MIXPC\Desktop\Kino\kino\src\pages\CollectionsPage.jsx", "JavaScript JSX", 0, 53, 0, 0, 1, 7, 61
"c:\Users\MIXPC\Desktop\Kino\kino\src\pages\CollectionsPage.module.css", "CSS", 87, 0, 0, 0, 48, 8, 143
"c:\Users\MIXPC\Desktop\Kino\kino\src\pages\FilmPage.css", "CSS", 174, 0, 0, 0, 0, 6, 180
"c:\Users\MIXPC\Desktop\Kino\kino\src\pages\MainPage.jsx", "JavaScript JSX", 0, 44, 0, 0, 1, 3, 48
"c:\Users\MIXPC\Desktop\Kino\kino\src\pages\MoviePage.jsx", "JavaScript JSX", 0, 34, 0, 0, 1, 8, 43
"Total", "-", 1271, 1012, 46, 11, 80, 220, 2640
